phrase,category,doc_count,occurrence_count,mean_score,total_score
recovery infrastructure resilience,Recoverability,1,1,0.6637,0.6637
recovery infrastructure resilience,Resilience,1,1,0.6637,0.6637
disaster community resilience,Resilience,1,1,0.6608,0.6608
resilience vulnerable populations,Equity,1,1,0.6598,0.6598
resilience vulnerable populations,Resilience,1,1,0.6598,0.6598
computing crisis resilience,Resilience,1,1,0.6581,0.6581
resilient resilient,Resilience,1,1,0.6564,0.6564
network resilience seismic,Resilience,1,1,0.6561,0.6561
vulnerability resilience assessment,Resilience,1,1,0.6561,0.6561
modeling resilience,Resilience,1,1,0.6541,0.6541
transportation dots,Emerging/Unmapped,1,1,0.6541,0.6541
disasters risk reduction,Safety,1,1,0.6473,0.6473
italy resilience,Resilience,1,1,0.6421,0.6421
disaster resilient operations,Operational Performance,1,1,0.6419,0.6419
disaster resilient operations,Resilience,1,1,0.6419,0.6419
state disaster impact,Emerging/Unmapped,1,1,0.6415,0.6415
disaster recovery infrastructure,Recoverability,1,1,0.6396,0.6396
engagement public involvement,Emerging/Unmapped,1,1,0.6387,0.6387
resilience disaster management,Resilience,1,1,0.6386,0.6386
responsiveness disaster resilience,Resilience,1,1,0.6358,0.6358
responsiveness disaster resilience,Responsiveness,1,1,0.6358,0.6358
enhancement resilience,Resilience,1,1,0.6319,0.6319
seismic risk analysis,Emerging/Unmapped,1,1,0.6303,0.6303
resilience metrics,Resilience,1,1,0.6285,0.6285
accessibility index reliability,Reliability,1,1,0.6274,0.6274
accessibility index reliability,Accessibility,1,1,0.6274,0.6274
community engagement public,Emerging/Unmapped,1,1,0.6218,0.6218
resilience community,Resilience,1,1,0.6187,0.6187
theconceptofresilienceisevolvingintothegeneralbusinessframeworkofdotsacrossthecountryto ensurethatthetransportationsystemsareabletowithstandextremeweathereventsresultingfromclimatechange terrorism,Resilience,1,1,0.6155,0.6155
vulnerability index,Emerging/Unmapped,1,1,0.6146,0.6146
community disaster resilience,Resilience,1,1,0.6127,0.6127
sector adaptation options,Adaptability,1,1,0.6109,0.6109
disasters risk,Emerging/Unmapped,1,1,0.6106,0.6106
8r resilience,Resilience,1,1,0.6042,0.6042
transportation sector,Emerging/Unmapped,1,1,0.6011,0.6011
lifelines social,Emerging/Unmapped,1,1,0.6007,0.6007
critical infrastructure transportation,Emerging/Unmapped,1,1,0.5987,0.5987
decision making sustainability,Sustainability,1,1,0.5915,0.5915
transportation influence diagrams,Emerging/Unmapped,1,1,0.5911,0.5911
disaster management,Emerging/Unmapped,1,1,0.5875,0.5875
management organizational resilience,Resilience,1,1,0.5862,0.5862
public involvement performance,Emerging/Unmapped,1,1,0.5836,0.5836
adaptation urban transportation,Adaptability,1,1,0.582,0.582
populations mobility vulnerability,Mobility,1,1,0.5816,0.5816
climate change vulnerability,Emerging/Unmapped,1,1,0.5798,0.5798
